School_Name,Area_50m_Concrete_percent,Area_50m_Concrete_sqm,Area_50m_Building_percent,Area_50m_Building_sqm,Area_50m_LowVege_percent,Area_50m_LowVege_sqm,Area_50m_Tree_percent,Area_50m_Tree_sqm,Area_50m_Water_percent,Area_50m_Water_sqm
Boston_Day__Evening_Acade,41.73219593684888,3277.6390043343567,23.605156453017038,1853.9446524909008,9.895495815806607,777.1904239641643,20.375570898614683,1600.2935961946464,0.0,0.0
West_Roxbury_Academy__50m,39.24572862754061,3082.3523185265053,29.19739653479786,2293.158161441726,6.689977936148114,525.4296384220181,20.393481653140956,1601.7003035656464,0.0,0.0
McKinley_Middle_50m,44.487228576886594,3494.0187618929203,26.8260839329582,2106.9157052091164,7.7433612562462075,608.1621709178729,15.228757444341296,1196.063812761087,0.0,0.0
Boston_Latin_School_50m,43.092347562129945,3384.4650631781365,29.026153572330177,2279.7087706200405,5.97616590125262,469.36697230022634,17.522613425299784,1376.2228402153921,0.0,0.0
"Haley_K__8,_Dennis_50m",34.94219397418195,2744.3534972399884,19.196637882779356,1507.7004136540788,30.806938503436836,2419.5712920497426,12.280755219664993,964.5282594658512,0.0,0.0
"Greenwood,_Elihu_Leadersh",40.177422968200545,3155.5274209267163,24.880665003654098,1954.1228597977095,5.568532982942793,437.35155776213844,22.373035870560226,1757.174128236323,0.0,0.0
Another_Course_to_College,45.025023154244124,3536.257049227092,26.318690705758975,2067.065134332859,7.959952465498313,625.1732047133365,16.36180463722535,1285.0531311944644,0.0,0.0
"English_High,_The_50m",45.29319317391503,3557.3190733198708,21.614612705353455,1697.6077121331755,5.215732464285456,409.64266982222443,22.465103356522537,1764.405091674665,0.0,0.0
"McCormack,_John_W_Middle_",40.1626474867351,3154.3669573260895,23.557453839120715,1850.1980979565578,11.496190525837394,902.9086925059835,20.583736530958227,1616.6428867271554,0.0,0.0
"Hamilton,_Alexander_50m",44.71770482257757,3512.1203239001647,19.78174268567205,1553.6544374127734,14.328089066536451,1125.325483785279,16.688806189921245,1310.735773086011,0.0,0.0
Urban_Science_Academy__50,39.24572862754061,3082.3523185265053,29.19739653479786,2293.158161441726,6.689977936148114,525.4296384220181,20.393481653140956,1601.7003035656464,0.0,0.0
Dickerman_Elementary_50m,38.32085840249915,3009.7131809136504,25.172639652712185,1977.0544951105933,5.82669906145658,457.6278741537633,22.82719882783022,1792.844003488624,0.0,0.0
Greater_Egleston_Communit,42.2131279311974,3315.411314842396,23.13307448955365,1816.8674217831797,16.766399336262914,1316.8299245489088,12.91311941664531,1014.1940273565156,0.0,0.0
Haynes_Early_Education_Ce,42.70057191524677,3353.6950758255475,27.9136638885217,2192.334035173862,3.8261473024775743,300.50490642539876,17.474537389503062,1372.4469571935745,0.0,0.0
