SchoolName,NCESID,Lat,Long,N,E,S,W,N_window_area,E_window_area,S_window_area,W_window_area,NE,SE,SW,NW,NE_window_area,SE_window_area,SW_window_area,NW_window_area,N_house_area,E_house_area,S_house_area,W_house_area,NE_house_area,SE_house_area,SW_house_area,NW_house_area,N_ratio,E_ratio,S_ratio,W_ratio,NE_ratio,SE_ratio,SW_ratio,NW_ratio
Lee Academy,250279001768,42.2867,-71.072715,0,0,13,0,0.0,0.0,8362.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10205638271906273,0.0,0.0,0.0,0.0,0.0
Lilla G. Frederick Middle School,250279002013,42.30904,-71.0753,0,0,0,0,0.0,0.0,0.0,0.0,0,13,9,0,0.0,11365.5,39046.0,0.0,0.0,0.0,0.0,0.0,0.0,69930.0,289301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16252681252681253,0.13496669558694924,0.0
Lyndon,250279000692,42.282953000000006,-71.158517,0,0,0,0,0.0,0.0,0.0,0.0,9,11,0,0,44541.5,26388.5,0.0,0.0,0.0,0.0,0.0,0.0,190284.0,110432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23407906077231927,0.23895700521587945,0.0,0.0
Lyon K-8,250279002458,42.351033,-71.161516,0,7,9,8,0.0,15010.5,27362.0,14676.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,258366.0,164220.0,69344.0,0.0,0.0,0.0,0.0,0.0,0.05809781472794408,0.16661795152843747,0.21164051684356253,0.0,0.0,0.0,0.0
Lyon Upper 9-12,250279002674,42.352112,-71.160823,5,20,0,8,8514.5,65159.0,0.0,54485.5,0,0,0,0,0.0,0.0,0.0,0.0,70400.0,114660.0,0.0,249280.0,0.0,0.0,0.0,0.0,0.12094460227272727,0.5682801325658469,0.0,0.21857148587933248,0.0,0.0,0.0,0.0
Madison Park High,250279000282,42.331866999999995,-71.090468,5,0,22,0,32747.5,0.0,29144.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,52432.0,0.0,257298.0,0.0,0.0,0.0,0.0,0.0,0.624570872749466,0.0,0.11327138182185637,0.0,0.0,0.0,0.0,0.0
Manassah E Bradley,250279000283,42.391609,-71.005114,0,0,5,0,0.0,0.0,24649.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4463781238681637,0.0,0.0,0.0,0.0,0.0
Margarita Muniz Academy,250279002753,42.307189,-71.114194,4,0,9,0,18200.0,0.0,13069.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,311922.0,0.0,375925.0,0.0,0.0,0.0,0.0,0.0,0.05834792031341168,0.0,0.03476624326660903,0.0,0.0,0.0,0.0,0.0
Mario Umana Academy,250279002721,42.3784,-71.040683,0,3,0,0,0.0,20497.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,424560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048278217448652724,0.0,0.0,0.0,0.0,0.0,0.0
Mather,250279000289,42.308394,-71.061018,0,0,16,0,0.0,0.0,17794.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12487718953514484,0.0,0.0,0.0,0.0,0.0
